8/18/2018,
8/19/2018,165.4
8/20/2018,163.6
8/21/2018,163.6
8/22/2018,
8/23/2018,167.4
8/24/2018,169.2
8/25/2018,
8/26/2018,
8/27/2018,169.4
8/28/2018,170.2
8/29/2018,
8/30/2018,
8/31/2018,
9/1/2018,
9/2/2018,
9/3/2018,171.4
9/4/2018,
9/5/2018,
9/6/2018,
9/7/2018,
9/8/2018,174.0
9/9/2018,
9/10/2018,173.0
9/11/2018,
9/12/2018,
9/13/2018,
9/14/2018,
9/15/2018,
9/16/2018,
9/17/2018,173.0
9/18/2018,173.0
9/19/2018,
9/20/2018,174.0
9/21/2018,
9/22/2018,
9/23/2018,
9/24/2018,
9/25/2018,
9/26/2018,
9/27/2018,
9/28/2018,
9/29/2018,
9/30/2018,
10/1/2018,
10/2/2018,
10/3/2018,
10/4/2018,
10/5/2018,
10/6/2018,
10/7/2018,
10/8/2018,
10/9/2018,
10/10/2018,
10/11/2018,
10/12/2018,
10/13/2018,
10/14/2018,
10/15/2018,
10/16/2018,
10/17/2018,
10/18/2018,
10/19/2018,
10/20/2018,
10/21/2018,
10/22/2018,
10/23/2018,180.2
10/24/2018,180.2
10/25/2018,183.4
10/26/2018,182.6
10/27/2018,181.8
10/28/2018,
10/29/2018,
10/30/2018,184.0
10/31/2018,184.0
11/1/2018,182.6
11/2/2018,182.4
11/3/2018,
11/4/2018,
11/5/2018,183.4
11/6/2018,183.2
11/7/2018,183.2
11/8/2018,183.2
11/9/2018,183.2
11/10/2018,183.2
11/11/2018,
11/12/2018,184.6
11/13/2018,
11/14/2018,
11/15/2018,186.2
11/16/2018,
11/17/2018,185.6
11/18/2018,184.0
11/19/2018,183.0
11/20/2018,185.2
11/21/2018,184.6
11/22/2018,184.2
11/23/2018,185.6
11/24/2018,184.8
11/25/2018,
11/26/2018,
11/27/2018,185.4
11/28/2018,184.8
11/29/2018,
11/30/2018,
12/1/2018,
12/2/2018,
12/3/2018,
12/4/2018,
12/5/2018,188.0
12/6/2018,189.0
12/7/2018,
12/8/2018,187.0
12/9/2018,187.8
12/10/2018,187.0
12/11/2018,
12/12/2018,
12/13/2018,185.6
12/14/2018,186.4
12/15/2018,
12/16/2018,184.6
12/17/2018,
12/18/2018,184.6
12/19/2018,183.6
12/20/2018,
12/21/2018,
12/22/2018,
12/23/2018,
12/24/2018,
12/25/2018,
12/26/2018,
12/27/2018,183.0
12/28/2018,183.0
12/29/2018,182.2
12/30/2018,184.0
12/31/2018,184.0
1/1/2019,184.4
1/2/2019,182.6
1/3/2019,180.8
1/4/2019,182.4
1/5/2019,
1/6/2019,183.6
1/7/2019,181.8
1/8/2019,180.8
1/9/2019,182.6
1/10/2019,182.4
1/11/2019,182.4
1/12/2019,182.4
1/13/2019,180.4
1/14/2019,180.6
1/15/2019,181.4
1/16/2019,181.4
1/17/2019,180.4
1/18/2019,180.4
1/19/2019,180.4
1/20/2019,179.4
1/21/2019,177.8
1/22/2019,179.2
1/23/2019,179.2
1/24/2019,180.6
1/25/2019,179.6
1/26/2019,179.6
1/27/2019,180.6
1/28/2019,180.0
1/29/2019,179.2
1/30/2019,179.4
1/31/2019,180.4
2/1/2019,180.4
2/2/2019,180.4
2/3/2019,177.8
2/4/2019,177.8
2/5/2019,177.8
2/6/2019,177.8
2/7/2019,178.6
2/8/2019,178.2
2/9/2019,178.6
2/10/2019,177.4
2/11/2019,177.4
2/12/2019,178.2
2/13/2019,178.2
2/14/2019,180.2
2/15/2019,176.8
2/16/2019,179.4
2/17/2019,179.4
2/18/2019,180.2
2/19/2019,179.2
2/20/2019,179.2
2/21/2019,179.2
2/22/2019,178.6
2/23/2019,
2/24/2019,
2/25/2019,176.8
2/26/2019,
2/27/2019,180.0
2/28/2019,179.0
3/1/2019,178.2
3/2/2019,
3/3/2019,179.0
3/4/2019,178.2
3/5/2019,176.4
3/6/2019,176.8
3/7/2019,178.0
3/8/2019,178.0
3/9/2019,178.6
3/10/2019,176.8
3/11/2019,176.8
3/12/2019,177.4
3/13/2019,178.6
3/14/2019,178.6
3/15/2019,177.8
3/16/2019,176.6
3/17/2019,176.6
3/18/2019,176.6
3/19/2019,176.6
3/20/2019,176.6
3/21/2019,177.8
3/22/2019,175.6
3/23/2019,175.8
3/24/2019,176.4
3/25/2019,175.2
3/26/2019,176.0
3/27/2019,176.0
3/28/2019,176.6
3/29/2019,178.6
3/30/2019,175.6
3/31/2019,177.6
4/1/2019,176.2
4/2/2019,
4/3/2019,
4/4/2019,
4/5/2019,
4/6/2019,176.6
4/7/2019,173.4
4/8/2019,173.8
4/9/2019,173.8
4/10/2019,175.6
4/11/2019,176.4
4/12/2019,173.2
4/13/2019,175.4
4/14/2019,173.8
4/15/2019,173.8
4/16/2019,173.8
4/17/2019,
4/18/2019,169.9
4/19/2019,171.8
4/20/2019,175.6
4/21/2019,175.0
4/22/2019,175.0
4/23/2019,173.0
4/24/2019,173.6
4/25/2019,175.2
4/26/2019,173.2
4/27/2019,
4/28/2019,
4/29/2019,173.6
4/30/2019,173.6
5/1/2019,
5/2/2019,173.2
5/3/2019,173.8
5/4/2019,173.0
5/5/2019,170.4
5/6/2019,170.8
5/7/2019,170.8
5/8/2019,173.2
5/9/2019,172.4
5/10/2019,172.4
5/11/2019,172.4
5/12/2019,171.4
5/13/2019,171.4
5/14/2019,172.2
5/15/2019,171.4
5/16/2019,172.6
5/17/2019,171.0
5/18/2019,170.4
5/19/2019,170.2
5/20/2019,169.0
5/21/2019,169.2
5/22/2019,171.0
5/23/2019,170.0
5/24/2019,171.0
5/25/2019,170.0
5/26/2019,169.4
5/27/2019,168.4
5/28/2019,167.4
5/29/2019,166.6
5/30/2019,167.8
5/31/2019,167.6
6/1/2019,170.2
6/2/2019,170.0
6/3/2019,167.8
6/4/2019,167.4
6/5/2019,167.8
6/6/2019,166.6
6/7/2019,167.2
6/8/2019,167.5
6/9/2019,167.8
6/10/2019,167.0
6/11/2019,166.2
6/12/2019,165.6
6/13/2019,166.4
6/14/2019,167.8
6/15/2019,167.4
6/16/2019,166.6
6/17/2019,165.4
6/18/2019,166.0
6/19/2019,166.4
6/20/2019,166.0
6/21/2019,166.6
6/22/2019,164.4
6/23/2019,165.6
6/24/2019,165.8
6/25/2019,164.4
6/26/2019,165.2
6/27/2019,164.4
6/28/2019,163.8
